date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,kospi_label
20190508,-0.093937834,0.570118116,-0.62243064,-0.060376182,-0.189981739,-0.102954102,-0.11086341,-0.362197815,-0.621138776,-0.182876791,2
20190509,-0.451817399,0.799468098,-0.692759665,-0.332069002,-0.144302819,-0.18178958,-0.374728982,0.812446057,0.294176301,-0.546226345,2
20190510,-0.41912022,0.766703815,-0.686731463,-0.332069002,-0.367940324,-0.401716405,-0.436884221,0.694884728,-0.251752795,-0.510562626,1
20190513,-0.576533005,0.864996664,-0.716872473,-0.422633275,-0.511842436,-0.532541574,-0.504655898,-0.160063992,-0.791158229,-0.669757857,2
20190514,-0.561187563,0.864996664,-0.712853672,-0.422633275,-0.682449148,-0.57470428,-0.616877663,0.618922463,-0.413549227,-0.659712652,1
20190515,-0.501866314,0.832232381,-0.702806669,-0.422633275,-0.565251635,-0.538470704,-0.511395622,0.134622636,-0.656283733,-0.603327822,1
20190516,-0.637914773,0.93052523,-0.728928878,-0.513197548,-0.495192605,-0.562791119,-0.586388432,0.8192238,-0.360846421,-0.744059014,2
20190517,-0.702387319,0.963289513,-0.740985282,-0.513197548,-0.567143661,-0.6327878,-0.632657177,-0.030689674,-0.558949178,-0.811202597,2
20190520,-0.702875336,0.963289513,-0.740985282,-0.513197548,-0.648446733,-0.664245132,-0.643890052,0.389861734,-0.705008033,-0.809963239,2
20190521,-0.672835142,0.93052523,-0.73495708,-0.513197548,-0.700234195,-0.667703791,-0.633192076,-0.073724459,-0.59075274,-0.774067574,1
20190522,-0.653260215,0.93052523,-0.732947679,-0.513197548,-0.63698646,-0.698831727,-0.663574327,-0.142790359,-0.78015539,-0.753499102,1
20190523,-0.681836356,0.963289513,-0.736966481,-0.513197548,-0.666177722,-0.725952009,-0.669939623,-0.14567407,-0.726030878,-0.775495274,2
20190524,-0.75926848,0.996053796,-0.753041686,-0.603761821,-0.752400062,-0.772506664,-0.727922651,-0.262744555,-0.797047169,-0.857067923,2
20190527,-0.765233139,0.996053796,-0.753041686,-0.603761821,-0.768887719,-0.78485902,-0.72851104,-0.790533198,-1.117918732,-0.861081217,2
20190528,-0.74018157,0.996053796,-0.749022885,-0.603761821,-0.766076709,-0.766797131,-0.714336222,-0.206170645,0.247552912,-0.837684851,1
20190529,-0.878507444,1.061582362,-0.773135693,-0.603761821,-0.755589478,-0.831084279,-0.833458182,-0.67077534,-0.765619783,-0.945963727,2
20190530,-0.794568419,0.996053796,-0.757060488,-0.603761821,-0.876571043,-0.86429839,-0.792484935,-0.339635333,-0.678385545,-0.85467941,1
