Date,Open,High,Low,Close,Volume,Labeling,ma_5,ma_10,ma_15,ma_20,ma_30,ma_60,ma_120,ema_5,ema_10,ema_15,ema_20,ema_30,ema_60,ema_120,wma_5,wma_10,wma_15,wma_20,wma_30,wma_60,wma_120,ma_v5,ma_v10,ma_v20,ma_v60,ma_v120,ubb,mbb,lbb,macd,macdsignal9,macdhist,rsi,slowk,slowd,fastk,fastd,fastk_rsi,fastd_rsi,cci,willR,sar,adx,plus_di,plus_dm,atr,obv,var,Market_Value,Value,Num_Stock,DIV,BPS,PER,EPS,PBR,yg_short_sell,yg_balance,yg_short_sell_value_x,yg_balance_value,yg_short_sell_volume,yg_total_volume,yg_short_sell_rate,yg_short_sell_value_y,kosdaq_inst_volume,kosdaq_indi_volume,kosdaq_fore_volume,kosdaq_etc_volume,kosdaq_short_sell_volume,kosdaq_inst_value,kosdaq_indi_value,kosdaq_fore_value,kosdaq_etc_value,kosdaq_short_sell_value,kosdaq_150_Close,kosdaq_150_comm_Close,kosdaq_enter_Close,kosdaq_large_Close,kosdaq_super_Close
2019-02-01,43750,43900,42900,43450,204921,1,42280.0,42560.0,43836.666666666664,44840.0,45430.0,43588.333333333336,41763.333333333336,42750.11361682381,43087.50191566255,43585.42968503924,43928.18485772963,44175.38947192845,43594.967789165436,41421.76545133836,42580.0,42494.545454545456,42943.333333333336,43588.57142857143,44519.67741935484,44631.96721311475,43081.701101928375,352236.6,362916.5,347613.85,314659.88333333336,334301.25833333336,49984.47276210109,44840.0,39695.52723789891,-832.9030063484097,-535.6044282758855,-297.29857807252415,47.42269543633576,59.5720720720721,40.52325581395353,82.43243243243244,59.5720720720721,98.50695982764708,66.16898660921574,-9.001589365698662,-63.25301204819277,26700.0,21.043807081697448,19.489730152454925,5307.623418619537,1945.2088651520428,4321933.0,1164600.0,790169,8887079050,18185709,0.35,17539,43.62,996,2.477080791379212,11006,600153,477456450,26076647850,11006,204921,5.37,477456450,861773,410406,4384435,0,5656614,17936069978,3006888540,46209030382,0,67151988900,1191.56,2330.95,617.83,1554.81,1299.22
2019-02-07,43800,46700,43050,45800,489989,0,42990.0,42860.0,43776.666666666664,44685.0,45516.666666666664,43737.5,41853.75,43766.74241121587,43580.683385542085,43862.25097440934,44106.45296651729,44280.20305438468,43667.263927225584,41494.13296453938,43753.333333333336,43083.63636363636,43188.75,43680.0,44543.54838709677,44704.48087431694,43148.422865013774,405741.6,357537.4,352447.35,319241.55,334943.4083333333,49507.56156000108,44685.0,39862.43843999892,-571.6402589656282,-542.8115944138341,-28.828664551794077,55.199105607687194,83.97683397683402,60.77005577005582,85.71428571428571,83.97683397683402,100.0,99.50231994254908,88.09708905588714,-34.146341463414636,26700.0,20.690414822600623,26.707386532021587,7728.507460146713,2066.9796604983253,4811922.0,3138400.0,832905,22341626500,18185709,0.33,17539,45.98,996,2.611099834654199,23794,490648,1091276600,22471678400,23794,489989,4.86,1091276600,768330,219126,5343527,0,6330983,17687718679,2354122410,50089780297,0,70131621386,1216.85,2386.07,626.4,1591.13,1324.68
2019-02-08,45700,47200,45500,46050,260974,0,43920.0,43105.0,43623.333333333336,44567.5,45505.0,43913.333333333336,41951.25,44527.82827414391,44029.650042716254,44135.71960260817,44291.55268399183,44394.38350248889,43745.38642141491,41569.43655190236,44773.333333333336,43663.63636363636,43472.916666666664,43810.0,44577.95698924731,44780.30054644809,43217.78236914601,401938.0,357370.4,345133.45,317565.61666666664,335567.525,49129.76643237766,44567.5,40005.23356762234,-340.48978441824875,-502.34723241471704,161.8574479964683,55.9456006976829,83.74498448027863,75.76463017639493,83.08823529411765,83.74498448027863,100.0,99.50231994254908,166.66666666666643,-23.12925170068027,26700.0,20.5952252348917,26.86830093634656,7676.471212993377,2040.7668276055879,5072896.0,3640600.0,837452,12099591900,18185709,0.33,17539,46.23,996,2.6252967672045155,20807,478022,964744100,22012913100,20807,260974,7.97,964744100,529713,243005,7045905,500,7819123,14114837081,2178261915,64377057998,41704400,80711861394,1213.97,2391.75,624.9,1583.53,1317.92
2019-02-11,47000,47450,45600,45600,168087,1,44880.0,43445.0,43490.0,44482.5,45491.666666666664,44078.333333333336,42043.75,44885.21884942927,44315.168216767845,44318.75465228215,44416.16671408785,44472.16521200573,43806.19342399147,41636.057435341994,45333.333333333336,44117.27272727273,43720.0,43908.333333333336,44584.086021505376,44835.60109289618,43278.09228650138,356412.4,332215.3,338792.1,315857.05,335790.775,48898.977668912186,44482.5,40066.022331087814,-191.40619570542913,-440.15902507285944,248.7528293674303,54.19511876685621,80.396860236632,82.70622623124824,72.38805970149254,80.396860236632,79.46144093886122,93.15381364628712,154.0874392782789,-26.24113475177305,26700.0,20.624927320976347,25.99774477208437,7378.151840636707,2027.14062563376,4904809.0,1336600.0,829268,7789767200,18185709,0.33,17539,45.78,996,2.5997422886139465,16438,474188,762419500,21622972800,16438,168087,9.78,762419500,357625,211210,7532729,6400,8107964,7824040521,1444803252,62431137822,172242100,71872223695,1226.74,2399.33,627.21,1598.54,1321.84
2019-02-12,45350,45900,44450,44900,177802,1,45160.0,43625.0,43503.333333333336,44317.5,45433.333333333336,44223.333333333336,42137.5,44890.145899619514,44421.5012682646,44391.41032074688,44462.24607465091,44499.76745639246,43842.05593468028,41690.006899220636,45340.0,44381.818181818184,43896.25,43948.09523809524,44545.913978494624,44862.54098360656,43325.30303030303,260354.6,312171.3,336375.6,315543.05,336447.4166666667,48400.057409271794,44317.5,40234.942590728206,-128.26200288819382,-377.77962063592634,249.51761774773252,51.49592085590366,66.47744631721808,76.87309701137626,43.956043956043956,66.47744631721808,47.791513511721064,75.75098481686081,85.58844256518682,-36.170212765957444,26700.0,19.855581520524346,24.64188522582706,6851.140994876942,1985.9162952313486,4727007.0,877400.0,816538,7982478300,18185709,0.33,17539,45.08,996,2.55999087747306,17949,480900,805185350,21592410000,17949,177802,10.1,805185350,1172632,240882,6411163,0,7824677,30542943253,2325791566,72831592195,0,105700327014,1217.52,2375.59,622.97,1587.22,1322.0
2019-02-13,45400,45450,44150,44600,197358,1,45390.0,43835.0,43503.333333333336,44225.0,45345.0,44329.166666666664,42217.5,44793.430599746345,44453.95558312558,44417.48403065352,44475.365496112725,44506.23407210907,43866.906559772724,41738.10595873765,45153.333333333336,44559.09090909091,44033.333333333336,43975.0,44492.15053763441,44874.89071038251,43366.00550964187,258842.0,305539.3,331903.85,311757.4166666667,335668.3,48192.303870388554,44225.0,40257.696129611446,-101.26000563380512,-322.4756976355021,221.215692001697,50.33878283130097,50.52379212826977,65.79936622737331,35.22727272727273,50.52379212826977,0.0,42.41765148352747,57.2524322796823,-40.42553191489362,26700.0,18.94307659200991,23.46053939266542,6361.773780957161,1936.922274143395,4529649.0,302400.0,811083,8813861450,18185709,0.34,17539,44.78,996,2.5429545584126805,24542,479730,1094741150,21395958000,24542,197358,12.44,1094741150,1053340,219900,4905991,1640,6180871,26389140292,2229695650,51796427364,44797550,80460060856,1234.64,2404.84,632.09,1609.32,1343.05
2019-02-14,44300,44800,43200,44450,218672,1,45120.0,44055.0,43613.333333333336,44112.5,45195.0,44405.833333333336,42297.5,44678.95373316423,44453.236386193654,44421.54852682183,44472.94973457818,44502.60606745687,43886.0243774851,41782.93065363455,44840.0,44670.90909090909,44151.666666666664,43996.42857142857,44434.408602150535,44878.852459016394,43402.906336088156,204578.6,305160.1,330788.55,305490.76666666666,335658.5833333333,47916.95462583009,44112.5,40308.04537416991,-90.91644646716304,-276.1638474018343,185.24740093467125,49.73699066659919,36.19836046306637,51.0665329695181,29.41176470588235,36.19836046306637,0.0,15.930504503907068,25.324727069886418,-42.5531914893617,26700.0,17.69059759560956,22.058863602064882,5907.361368031649,1912.856397418867,4310977.0,372600.0,808355,9593829600,18185709,0.34,17539,44.63,996,2.5344363988824905,36747,503820,1605638900,22394799000,36747,218672,16.8,1605638900,1126810,453857,6721033,22674,8324374,30888043218,2973316835,75756580162,59674030,109677614245,1236.5,2414.43,626.51,1611.29,1350.22
2019-02-15,44600,45150,44150,44800,211677,0,44870.0,44395.0,43693.333333333336,43935.0,45065.0,44464.166666666664,42379.166666666664,44719.30248877615,44516.28431597663,44468.8549609691,44504.097378904065,44521.79277278224,43915.990791338045,41832.79956845051,44733.333333333336,44806.36363636364,44300.0,44061.90476190476,44408.92473118279,44891.77595628415,43444.26997245179,194719.2,298328.6,321379.95,300761.7,336189.00833333336,47229.10078777198,43935.0,40640.89921222802,-53.85620556489448,-231.70231903444633,177.84611346955185,51.20287440759592,34.09536541889486,40.272506003410356,37.64705882352941,34.09536541889486,32.88114894931393,10.960382983104692,43.561566638489886,-37.5886524822695,26700.0,16.547270131208148,22.559156244467356,5835.406984600817,1847.652369031805,4522654.0,157600.0,814720,9442606100,18185709,0.33,17539,44.98,996,2.5543121044529333,8225,508014,366532350,22759027200,8225,211677,3.89,366532350,1571935,240104,5739959,0,7551998,45651350848,1826444330,64934715043,0,112412510221,1229.34,2404.45,630.85,1602.34,1339.82
2019-02-18,45000,45050,43000,43300,329250,1,44410.0,44645.0,43766.666666666664,43720.0,44925.0,44480.833333333336,42455.833333333336,44246.2016591841,44295.14171307179,44322.74809084796,44389.42143805606,44442.96743260274,43895.79437194991,41857.05081525298,44210.0,44607.27272727273,44250.833333333336,44001.42857142857,44295.05376344086,44853.60655737705,43459.49035812672,226951.8,291682.1,329863.75,298568.63333333336,336958.69166666665,46559.08435943704,43720.0,40880.91564056296,-143.86477801394358,-214.13481083034577,70.27003281640219,45.12839792404753,25.80121703853958,32.03164764016696,10.344827586206897,25.80121703853958,0.0,10.960382983104692,-3.0115146147031218,-58.86524822695036,26700.0,15.952422342218398,20.785194166820624,5418.592199986473,1862.105771243819,4193404.0,332400.0,787441,14277069150,18185709,0.35,17539,43.47,996,2.468562631849022,50987,519452,2208349900,22492271600,50987,329250,15.49,2208349900,526790,333666,4550044,2500,5413000,14522281422,1821650353,54657618055,46117950,71047667780,1240.93,2400.14,628.67,1617.48,1351.04
2019-02-19,43300,43300,42600,43050,254451,1,44040.0,44600.0,43763.333333333336,43637.5,44830.0,44505.833333333336,42519.166666666664,43847.4677727894,44068.7523106951,44163.654579491966,44261.85749157453,44353.09856598321,43868.06340893516,41876.7689835959,43756.666666666664,44317.27272727273,44161.25,43937.619047619046,44174.086021505376,44806.69398907104,43469.31129476584,242281.6,251318.1,313926.95,297557.3,336614.575,46453.680924585635,43637.5,40821.319075414365,-232.68785012629087,-217.8454186895348,-14.842431436756073,44.18748967549633,21.260453364648974,27.05234527402783,15.789473684210526,21.260453364648974,0.0,10.960382983104692,-44.06576980567947,-62.4113475177305,26700.0,15.630812862961838,20.20104445586931,5031.549899987439,1779.0982161549748,3938953.0,517400.0,782895,10902632750,18185709,0.35,17539,43.22,996,2.4543656992987053,62191,560965,2664098350,24149543250,62191,254451,24.44,2664098350,816473,275396,5373838,2000,6467707,20940206917,2080402840,46518652597,29064750,69568327104,1248.58,2395.33,636.63,1623.74,1352.96
2019-02-20,43050,44400,42750,44250,338324,0,43970.0,44680.0,43880.0,43620.0,44786.666666666664,44568.333333333336,42571.666666666664,43981.6451818596,44101.70643602326,44174.44775705547,44260.728206662665,44346.4470455972,43880.58592011761,41915.99594254473,43826.666666666664,44253.63636363636,44222.083333333336,43995.95238095238,44136.666666666664,44798.30601092896,43497.92011019284,270474.8,264658.4,313787.45,298375.8333333333,335168.89166666666,46416.31900898306,43620.0,40823.68099101694,-203.90036702198995,-215.05640835602583,11.156041334035876,49.61752639525089,30.28006120778623,25.780577203658286,64.70588235294117,30.28006120778623,77.40183791929313,25.800612639764424,-9.91789819376005,-45.39007092198582,26700.0,14.580686191632322,23.295217519711546,5772.153478559765,1769.876915001048,4277277.0,458600.0,804718,14820571950,18185709,0.34,17539,44.43,996,2.523078852842237,9899,538863,432036100,23844687750,9899,338324,2.93,432036100,717498,285070,6183629,0,7186197,17809607779,2476878401,60010450103,0,80296936283,1253.83,2426.79,639.77,1636.45,1361.18
2019-02-21,44350,47300,44350,46900,844770,0,44460.0,44790.0,44190.0,43825.0,44720.0,44665.833333333336,42653.75,44954.43012123973,44610.487084019034,44515.14178742354,44512.08742507575,44511.19239749415,43979.58310306458,41998.376174899364,44803.333333333336,44657.27272727273,44599.583333333336,44308.333333333336,44273.01075268817,44874.75409836065,43569.46280991736,395694.4,300136.5,328836.95,305975.3,338294.325,46934.42116799896,43825.0,40715.57883200104,32.373591159695934,-165.57040845288148,197.94399961257741,59.08445074542594,57.328239246426484,36.28958460628726,91.48936170212765,57.328239246426484,100.0,59.13394597309775,106.73434856176021,-7.801418439716312,26700.0,14.996636335736772,31.69748272068178,8259.856801519782,1861.3142782152588,5122047.0,1889400.0,852910,39181418150,18185709,0.32,17539,47.09,996,2.6741342151776046,18278,468176,854784000,21957454400,18278,844770,2.16,854784000,882348,466859,6084010,952,7434169,23889221729,2726176850,60376465589,18673400,87010537568,1246.13,2448.97,645.03,1625.98,1354.14
2019-02-22,47250,47700,45850,46500,315185,1,44800.0,44835.0,44530.0,43970.0,44656.666666666664,44759.166666666664,42740.833333333336,45469.62008082649,44954.034886924666,44763.2490639956,44701.41243221139,44639.50256539776,44062.21972263623,42072.78318027293,45483.333333333336,44968.181818181816,44888.333333333336,44563.09523809524,44387.84946236559,44934.89071038251,43633.03719008264,416396.0,305557.6,331464.0,307027.4,337527.4666666667,47287.43877110038,43970.0,40652.56122889962,185.2107539383942,-95.41417597462635,280.62492991302054,57.33325450381037,77.55527743012102,55.0545259614446,76.47058823529412,77.55527743012102,88.2446075183048,88.54881514586602,125.10381275953222,-17.26618705035971,26700.0,15.555945278540483,30.981842463928587,8069.8670299826545,1860.5061154855975,4806862.0,2583000.0,845635,14764256750,18185709,0.32,17539,46.69,996,2.6514191230970976,27479,474245,1276837600,22052392500,27479,315185,8.72,1276837600,906615,222263,6684617,1345,7814840,20712068371,1814923136,64753852501,57765550,87338609558,1239.34,2424.75,648.98,1617.75,1347.93
2019-02-25,46500,48100,46500,47500,290961,0,45640.0,45025.0,44976.666666666664,44235.0,44663.333333333336,44890.0,42817.5,46146.41338721766,45416.93763475655,45105.34293099615,44967.94458152459,44824.050786985,44174.933830090784,42162.48924340891,46383.333333333336,45452.72727272727,45259.583333333336,44899.28571428572,44571.290322580644,45024.75409836065,43711.701101928375,408738.2,317845.0,325030.15,307183.2833333333,335581.75,47783.25309131127,44235.0,40686.74690868873,382.6163857001884,0.1919363603366122,382.4244493398518,60.48632532645454,85.68361967611031,73.5223787842193,89.0909090909091,85.68361967611031,100.0,96.08153583943498,141.1255411255415,-10.909090909090908,26700.0,16.250276448097118,30.610682421383554,7893.447956412465,1841.898535808055,5097823.0,2885400.0,863821,13805739200,18185709,0.32,17539,47.69,996,2.7082068532983636,35060,471090,1658833850,22376775000,35060,290961,12.05,1658833850,775455,287970,4677923,1059,5742407,21784807220,2899151505,67282759248,12705900,91979423873,1252.65,2454.07,655.87,1636.13,1362.99
2019-02-26,47400,47900,43350,45400,868919,1,46110.0,45075.0,45103.333333333336,44350.0,44570.0,44994.166666666664,42871.666666666664,45897.60892481177,45413.858064800814,45142.17506462163,45009.09271661749,44861.2088007279,44215.09993402223,42216.001817898024,46303.333333333336,45520.90909090909,45312.5,45010.23809523809,44618.81720430108,45041.475409836065,43754.3870523416,531631.8,386956.7,349564.0,319185.2166666667,339624.7,47892.739053331476,44350.0,40807.260946668524,365.3972494941845,73.23299898710619,292.16425050707835,51.82494624301582,71.69806920219237,78.31232210280793,49.532710280373834,71.69806920219237,20.309694398960367,69.51810063908843,23.60692350642099,-49.09090909090909,26700.0,15.182008440534732,25.7228015843731,7329.630245240146,2035.334354678908,4228904.0,1334400.0,825631,39227179750,18185709,0.33,17539,45.58,996,2.5883847425736928,117681,487502,5321375350,22132590800,117681,868919,13.54,5321375350,933057,439430,6877640,2395,8252522,20357570340,2363343113,62108953114,71714100,84901580667,1248.18,2438.97,653.18,1630.83,1357.14
