집계날짜, 집계요일, 구독자수, 구독자수증감 영상조회수, 조회수증감, 순위변동(종합/구독/조회수)
2020-05-21, 목, 35,500,000 () 9,075,158,429 (+8,131,754) 2  / 6  / 3 
2020-05-20, 수, 35,500,000 (+100,000) 9,067,026,675 (+8,587,481) 2  / 6  / 3 
2020-05-19, 화, 35,400,000 () 9,058,439,194 (+7,902,082) 2  / 6  / 3 
2020-05-18, 월, 35,400,000 () 9,050,537,112 (+8,328,085) 2  / 6  / 3 
2020-05-17, 일, 35,400,000 (+100,000) 9,042,209,027 (+8,379,609) 2  / 6  / 3 
2020-05-16, 토, 35,300,000 () 9,033,829,418 (+8,541,198) 2  / 6  / 3 
2020-05-15, 금, 35,300,000 () 9,025,288,220 (+8,337,317) 2  / 6  / 3 
2020-05-14, 목, 35,300,000 () 9,016,950,903 (+8,471,842) 2  / 6  / 3 
2020-05-13, 수, 35,300,000 (+100,000) 9,008,479,061 (+8,513,061) 2  / 6  / 3 
2020-05-12, 화, 35,200,000 () 8,999,966,000 (+8,187,093) 2  / 6  / 3 
2020-05-11, 월, 35,200,000 () 8,991,778,907 (+8,085,631) 2  / 6  / 3 
2020-05-10, 일, 35,200,000 (+100,000) 8,983,693,276 (+8,603,289) 2  / 6  / 3 
2020-05-09, 토, 35,100,000 () 8,975,089,987 (+9,234,946) 2  / 6  / 3 
2020-05-08, 금, 35,100,000 () 8,965,855,041 (+9,374,815) 2  / 6  / 3 
2020-05-07, 목, 35,100,000 (+100,000) 8,956,480,226 (+8,715,334) 2  / 6  / 3 
2020-05-06, 수, 35,000,000 () 8,947,764,892 (+8,221,868) 2  / 6  / 3 
2020-05-05, 화, 35,000,000 () 8,939,543,024 (+8,533,359) 2  / 6  / 3 
2020-05-04, 월, 35,000,000 (+100,000) 8,931,009,665 (+7,982,484) 2  / 6  / 3 
2020-05-03, 일, 34,900,000 () 8,923,027,181 (+8,729,206) 2  / 6  / 3 
2020-05-02, 토, 34,900,000 () 8,914,297,975 (+9,878,220) 2  / 6  / 3 
2020-05-01, 금, 34,900,000 () 8,904,419,755 (+8,929,952) 2  / 6  / 3 
2020-04-30, 목, 34,900,000 (+100,000) 8,895,489,803 (+8,243,342) 2  / 6  / 3 
2020-04-29, 수, 34,800,000 () 8,887,246,461 (+7,540,848) 2  / 6  / 3
2020-04-28, 화, 34,800,000 () 8,879,705,613 (+7,675,818) 2  / 6  / 3 
2020-04-27, 월, 34,800,000 () 8,872,029,795 (+7,094,398) 2  / 6  / 3 
2020-04-26, 일, 34,800,000 (+100,000) 8,864,935,397 (+7,712,121) 2  / 6  / 3 
2020-04-25, 토, 34,700,000 () 8,857,223,276 (+8,304,018) 2  / 6  / 3 
2020-04-24, 금, 34,700,000 () 8,848,919,258 (+7,986,914) 2  / 6  / 3 
2020-04-23, 목, 34,700,000 (+100,000) 8,840,932,344 (+7,857,403) 2  / 6  / 3 
2020-04-22, 수, 34,600,000 () 8,833,074,941 (+8,271,241) 2  / 6  / 3 
2020-04-21, 화, 34,600,000 () 8,824,803,700 (+8,525,389) 2  / 6  / 3 
2020-04-20, 월, 34,600,000 () 8,816,278,311 (+7,779,970) 2  / 6  / 3 
2020-04-19, 일, 34,600,000 (+100,000) 8,808,498,341 (+8,178,707) 2  / 6  / 3 
2020-04-18, 토, 34,500,000 () 8,800,319,634 (+9,371,366) 2  / 6  / 3 
2020-04-17, 금, 34,500,000 () 8,790,948,268 (+9,970,309) 2  / 6  / 3 
2020-04-16, 목, 34,500,000 () 8,780,977,959 (+10,274,323) 2  / 6  / 3 
2020-04-15, 수, 34,500,000 (+100,000) 8,770,703,636 (+8,153,104) 2  / 6  / 3 
2020-04-14, 화, 34,400,000 () 8,762,550,532 (+7,827,059) 2  / 6  / 3 
2020-04-13, 월, 34,400,000 () 8,754,723,473 (+8,380,136) 2  / 6  / 3 
2020-04-12, 일, 34,400,000 () 8,746,343,337 (+8,256,452) 2  / 6  / 3 
2020-04-11, 토, 34,400,000 (+100,000) 8,738,086,885 (+8,344,612) 2  / 6  / 3 
2020-04-10, 금, 34,300,000 () 8,729,742,273 (+8,944,007) 2  / 6  / 3 
2020-04-09, 목, 34,300,000 () 8,720,798,266 (+9,365,546) 2  / 6  / 3 
2020-04-08, 수, 34,300,000 (+100,000) 8,711,432,720 (+9,571,035) 2  / 6  / 3 
2020-04-07, 화, 34,200,000 () 8,701,861,685 (+7,711,104) 2  / 6  / 3 
2020-04-06, 월, 34,200,000 () 8,694,150,581 (+7,426,230) 2  / 6  / 3 
2020-04-05, 일, 34,200,000 () 8,686,724,351 (+7,483,898) 2  / 6  / 3 
2020-04-04, 토, 34,200,000 (+100,000) 8,679,240,453 (+7,723,746) 2  / 6  / 3 
2020-04-03, 금, 34,100,000 () 8,671,516,707 (+7,790,091) 2  / 6  / 3 
2020-04-02, 목, 34,100,000 () 8,663,726,616 (+7,027,805) 2  / 6  / 3 
2020-04-01, 수, 34,100,000 () 8,656,698,811 (+7,363,893) 2  / 6  / 3 
2020-03-31, 화, 34,100,000 (+100,000) 8,649,334,918 (+7,092,126) 2  / 6  / 3 
2020-03-30, 월, 34,000,000 () 8,642,242,792 (+7,266,597) 2  / 6  / 3 
2020-03-29, 일, 34,000,000 () 8,634,976,195 (+7,155,095) 2  / 6  / 3 
2020-03-28, 토, 34,000,000 () 8,627,821,100 (+7,535,831) 2  / 6  / 3 
2020-03-27, 금, 34,000,000 (+100,000) 8,620,285,269 (+6,997,354) 2  / 6  / 3 
2020-03-26, 목, 33,900,000 () 8,613,287,915 (+7,158,538) 2  / 6  / 3 
2020-03-25, 수, 33,900,000 () 8,606,129,377 (+6,964,929) 2  / 6  / 3 
2020-03-24, 화, 33,900,000 () 8,599,164,448 (+6,809,961) 2  / 6  / 3 
2020-03-23, 월, 33,900,000 (+100,000) 8,592,354,487 (+6,859,143) 2  / 6  / 3 ▲ +1
2020-03-22, 일, 33,800,000 () 8,585,495,344 (+7,004,791) 2  / 6  / 4 
2020-03-21, 토, 33,800,000 () 8,578,490,553 (+7,442,613) 2  / 6  / 4 
2020-03-20, 금, 33,800,000 () 8,571,047,940 (+7,049,329) 2  / 6  / 4 
2020-03-19, 목, 33,800,000 () 8,563,998,611 (+6,657,360) 2  / 6  / 4 
2020-03-18, 수, 33,800,000 (+100,000) 8,557,341,251 (+6,745,248) 2  / 6  / 4 
2020-03-17, 화, 33,700,000 () 8,550,596,003 (+6,467,287) 2  / 6  / 4 
2020-03-16, 월, 33,700,000 () 8,544,128,716 (+6,372,079) 2  / 6  / 4 
2020-03-15, 일, 33,700,000 () 8,537,756,637 (+6,935,495) 2  / 6  / 4 
