Date,High,Low,Open,Close,Volume,Adj Close,,,Date,High,Low,Open,Close
2018-05-11,158.2400055,155.2799988,158,156.7700043,1601300,156.7700043,,,2018-05-15,27900,27350,27450,27750
2018-05-14,164.9499969,156.7700043,159.4799957,159.9700012,4753300,159.9700012,,,2018-05-16,27700,27000,27700,27150
2018-05-15,160.9900055,155.3240051,156.75,158.7100067,2976200,158.7100067,,,2018-05-17,27350,27050,27150,27350
2018-05-16,163,158.0800018,158.1600037,161.3899994,2077800,161.3899994,,,2018-05-18,27550,27100,27400,27350
2018-05-17,159.4799957,156.75,159.1699982,158.7599945,2470900,158.7599945,,,2018-05-21,27750,27150,27150,27500
2018-05-18,160.0500031,150.7799988,160,150.8000031,4152400,150.8000031,,,2018-05-23,28050,27200,27300,27900
2018-05-21,153.7400055,149.9799957,153.3600006,150.2200012,1948700,150.2200012,,,2018-05-24,27900,27500,27900,27650
2018-05-22,153.3899994,150.0500031,150.6300049,150.4299927,1194400,150.4299927,,,2018-05-25,27650,27100,27650,27350
2018-05-23,154.5599976,150,150.4299927,154.3699951,1202600,154.3699951,,,2018-05-28,27850,27300,27550,27400
2018-05-24,156.8650055,153.3399963,154.3200073,154.5899963,1083300,154.5899963,,,2018-05-29,29350,27200,27300,28550
2018-05-25,157.75,154.6999969,155.7100067,156.6000061,1288500,156.6000061,,,2018-05-30,29150,27950,28700,28350
2018-05-29,156.5599976,152.6300049,156.1000061,154.6199951,1314300,154.6199951,,,2018-05-31,29000,28000,28350,29000
2018-05-30,156.9299927,153.7100067,156.6000061,156.3800049,1085500,156.3800049,,,2018-06-01,29050,28250,29000,28400
2018-05-31,158.8450012,155.1499939,156.8200073,157.7100067,1446800,157.7100067,,,2018-06-04,29200,28350,28450,28650
2018-06-01,161.8099976,157.3500061,158.8999939,159.2400055,1952400,159.2400055,,,2018-06-05,29000,28050,28650,28400
2018-06-04,162.9700012,158.1000061,159.5399933,162.8300018,2016900,162.8300018,,,2018-06-07,28800,28300,28400,28300
2018-06-05,165.0599976,161.2299957,162.5,164.9600067,1694400,164.9600067,,,2018-06-08,28400,27800,28200,28250
2018-06-06,165.6399994,159.2050018,164.0899963,165.6399994,2264400,165.6399994,,,2018-06-11,28950,28300,28300,28850
2018-06-07,168.75,164.6629944,168.75,166.0299988,2207400,166.0299988,,,2018-06-12,30700,28700,28700,30700
2018-06-08,172.9299927,165.0399933,165.5,171.4799957,3528900,171.4799957,,,2018-06-14,31650,30500,30500,31050
2018-06-11,172.75,169.2200012,171.5,172.3699951,2347400,172.3699951,,,2018-06-15,31500,30850,31150,31250
2018-06-12,175.9299927,169.8899994,173,170.2299957,2231500,170.2299957,,,2018-06-18,33700,32150,32250,33000
