집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감,,조회수증감,집계날짜,그래프를위한
2020-03-26,목,"33,900,000",0,"8,613,287,915","7,158,538",,"6,997,354",2020-03-27,813.0663267
2020-03-27,금,"34,000,000","100,000","8,620,285,269","6,997,354",,"7,535,831",2020-03-28,874.9075933
2020-03-28,토,"34,000,000",0,"8,627,821,100","7,535,831",,"7,155,095",2020-03-29,830.0299557
2020-03-29,일,"34,000,000",0,"8,634,976,195","7,155,095",,"7,266,597",2020-03-30,842.2285205
2020-03-30,월,"34,000,000",0,"8,642,242,792","7,266,597",,"7,092,126",2020-03-31,821.3254837
2020-03-31,화,"34,100,000","100,000","8,649,334,918","7,092,126",,"7,363,893",2020-04-01,852.0812453
2020-04-01,수,"34,100,000",0,"8,656,698,811","7,363,893",,"7,027,805",2020-04-02,812.5254793
2020-04-02,목,"34,100,000",0,"8,663,726,616","7,027,805",,"7,790,091",2020-04-03,899.8916527
2020-04-03,금,"34,100,000",0,"8,671,516,707","7,790,091",,"7,723,746",2020-04-04,891.5038923
2020-04-04,토,"34,200,000","100,000","8,679,240,453","7,723,746",,"7,483,898",2020-04-05,863.0437158
2020-04-05,일,"34,200,000",0,"8,686,724,351","7,483,898",,"7,426,230",2020-04-06,855.631324
2020-04-06,월,"34,200,000",0,"8,694,150,581","7,426,230",,"7,711,104",2020-04-07,887.6883493
2020-04-07,화,"34,200,000",0,"8,701,861,685","7,711,104",,"9,571,035",2020-04-08,1100.859125
2020-04-08,수,"34,300,000","100,000","8,711,432,720","9,571,035",,"9,365,546",2020-04-09,1076.269233
2020-04-09,목,"34,300,000",0,"8,720,798,266","9,365,546",,"8,944,007",2020-04-10,1026.697592
2020-04-10,금,"34,300,000",0,"8,729,742,273","8,944,007",,"8,344,612",2020-04-11,956.8633221
2020-04-11,토,"34,400,000","100,000","8,738,086,885","8,344,612",,"8,256,452",2020-04-12,945.7841643
2020-04-12,일,"34,400,000",0,"8,746,343,337","8,256,452",,"8,380,136",2020-04-13,959.0355544
2020-04-13,월,"34,400,000",0,"8,754,723,473","8,380,136",,"7,827,059",2020-04-14,894.8950091
2020-04-14,화,"34,400,000",0,"8,762,550,532","7,827,059",,"8,153,104",2020-04-15,931.2805853
2020-04-15,수,"34,500,000","100,000","8,770,703,636","8,153,104",,"10,274,323",2020-04-16,1172.526534
2020-04-16,목,"34,500,000",0,"8,780,977,959","10,274,323",,"9,970,309",2020-04-17,1136.774131
2020-04-17,금,"34,500,000",0,"8,790,948,268","9,970,309",,"9,371,366",2020-04-18,1067.234885
2020-04-18,토,"34,500,000",0,"8,800,319,634","9,371,366",,"8,178,707",2020-04-19,930.3554919
2020-04-19,일,"34,600,000","100,000","8,808,498,341","8,178,707",,"7,779,970",2020-04-20,884.0553893
2020-04-20,월,"34,600,000",0,"8,816,278,311","7,779,970",,"8,525,389",2020-04-21,967.8595227
2020-04-21,화,"34,600,000",0,"8,824,803,700","8,525,389",,"8,271,241",2020-04-22,938.1783002
2020-04-22,수,"34,600,000",0,"8,833,074,941","8,271,241",,"7,857,403",2020-04-23,890.3770857
2020-04-23,목,"34,700,000","100,000","8,840,932,344","7,857,403",,"7,986,914",2020-04-24,904.2053932
2020-04-24,금,"34,700,000",0,"8,848,919,258","7,986,914",,"8,304,018",2020-04-25,939.2694884
2020-04-25,토,"34,700,000",0,"8,857,223,276","8,304,018",,"7,712,121",2020-04-26,871.5325313
2020-04-26,일,"34,800,000","100,000","8,864,935,397","7,712,121",,"7,094,398",2020-04-27,800.9731469
2020-04-27,월,"34,800,000",0,"8,872,029,795","7,094,398",,"7,675,818",2020-04-28,865.8628243
2020-04-28,화,"34,800,000",0,"8,879,705,613","7,675,818",,"7,540,848",2020-04-29,849.9574702
2020-04-29,수,"34,800,000",0,"8,887,246,461","7,540,848",,"8,243,342",2020-04-30,928.3350552
2020-04-30,목,"34,900,000","100,000","8,895,489,803","8,243,342",,"8,929,952",2020-05-01,1004.805261
2020-05-01,금,"34,900,000",0,"8,904,419,755","8,929,952",,"9,878,220",2020-05-02,1110.475108
2020-05-02,토,"34,900,000",0,"8,914,297,975","9,878,220",,"8,729,206",2020-05-03,980.322833
2020-05-03,일,"34,900,000",0,"8,923,027,181","8,729,206",,"7,982,484",2020-05-04,895.4697299
2020-05-04,월,"35,000,000","100,000","8,931,009,665","7,982,484",,"8,533,359",2020-05-05,956.3300466
2020-05-05,화,"35,000,000",0,"8,939,543,024","8,533,359",,"8,221,868",2020-05-06,920.5978169
2020-05-06,수,"35,000,000",0,"8,947,764,892","8,221,868",,"8,715,334",2020-05-07,974.9194088
2020-05-07,목,"35,100,000","100,000","8,956,480,226","8,715,334",,"9,374,815",2020-05-08,1047.727015
2020-05-08,금,"35,100,000",0,"8,965,855,041","9,374,815",,"9,234,946",2020-05-09,1031.090983
2020-05-09,토,"35,100,000",0,"8,975,089,987","9,234,946",,"8,603,289",2020-05-10,959.5614652
